date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:06:04	57152/57152	---MCZ	200	added ('OK')	text/html	etag:W/%22610bd34e-df40%22	https://easetemplate.com/borrow/index.html	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/index.html	(from )
17:06:05	92/92	---MCZ	200	added ('OK')	text/plain	date:Fri,%2010%20Jun%202022%2011:36:06%20GMT	https://easetemplate.com/robots.txt		(from )
17:06:06	21589/21589	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Jun%202022%2011:36:06%20GMT	https://easetemplate.com/borrow/assets/images/apple-touch-icon.png	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/assets/images/apple-touch-icon.png	(from https://easetemplate.com/borrow/index.html)
17:06:06	21589/21589	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Jun%202022%2011:36:07%20GMT	https://easetemplate.com/borrow/assets/images/favicon-32x32.png	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/assets/images/favicon-32x32.png	(from https://easetemplate.com/borrow/index.html)
17:06:07	21589/21589	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Jun%202022%2011:36:07%20GMT	https://easetemplate.com/borrow/assets/images/favicon-16x16.png	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/assets/images/favicon-16x16.png	(from https://easetemplate.com/borrow/index.html)
17:06:07	65696/65696	---MCZ	200	added ('OK')	text/css	etag:W/%22610bd34d-100a0%22	https://easetemplate.com/borrow/assets/libs/bootstrap-icons/font/bootstrap-icons.css	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/assets/libs/bootstrap-icons/font/bootstrap-icons.css	(from https://easetemplate.com/borrow/index.html)
17:06:07	2178/2178	---MCZ	200	added ('OK')	text/css	etag:W/%22610bd34d-882%22	https://easetemplate.com/borrow/assets/libs/tiny-slider/dist/tiny-slider.css	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/assets/libs/tiny-slider/dist/tiny-slider.css	(from https://easetemplate.com/borrow/index.html)
17:06:08	4255/4255	---MCZ	200	added ('OK')	text/css	etag:W/%22610bd34d-109f%22	https://easetemplate.com/borrow/assets/libs/nouislider/dist/nouislider.min.css	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/assets/libs/nouislider/dist/nouislider.min.css	(from https://easetemplate.com/borrow/index.html)
17:06:08	10586/10586	---MCZ	200	added ('OK')	text/css	etag:W/%22610bd34d-295a%22	https://easetemplate.com/borrow/assets/fonts/flat-font-icons/css/flaticon.css	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/assets/fonts/flat-font-icons/css/flaticon.css	(from https://easetemplate.com/borrow/index.html)
17:06:08	4689/4689	---MCZ	200	added ('OK')	text/css	etag:W/%22610bd34d-1251%22	https://easetemplate.com/borrow/assets/fonts/fontello-icons/fontello.css	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/assets/fonts/fontello-icons/fontello.css	(from https://easetemplate.com/borrow/index.html)
17:06:09	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%22610bd34d-1b27%22	https://easetemplate.com/borrow/assets/libs/magnific-popup/dist/magnific-popup.css	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/assets/libs/magnific-popup/dist/magnific-popup.css	(from https://easetemplate.com/borrow/index.html)
17:06:09	275/275	---MCZ	200	added ('OK')	text/css	etag:W/%22610bd34d-113%22	https://easetemplate.com/borrow/assets/libs/jquery-ui/themes/base/all.css	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/assets/libs/jquery-ui/themes/base/all.css	(from https://easetemplate.com/borrow/index.html)
17:06:09	235/235	---MCZ	200	added ('OK')	text/css	etag:W/%22610bd34d-eb%22	https://easetemplate.com/borrow/assets/libs/jquery-ui/demos/demos.css	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/assets/libs/jquery-ui/demos/demos.css	(from https://easetemplate.com/borrow/index.html)
17:06:11	3542/3542	---M--	200	added ('OK')	image/png	etag:%22610bd34d-dd6%22	https://easetemplate.com/borrow/assets/images/brand/logo/logo.png	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/assets/images/brand/logo/logo.png	(from https://easetemplate.com/borrow/index.html)
17:06:12	55892/55892	---MCZ	200	added ('OK')	text/html	etag:W/%22610bd34e-da54%22	https://easetemplate.com/borrow/pages/index-1.html	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/pages/index-1.html	(from https://easetemplate.com/borrow/index.html)
17:06:13	56257/56257	---MCZ	200	added ('OK')	text/html	etag:W/%22610bd34e-dbc1%22	https://easetemplate.com/borrow/pages/index-2.html	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/pages/index-2.html	(from https://easetemplate.com/borrow/index.html)
17:06:13	55957/55957	---MCZ	200	added ('OK')	text/html	etag:W/%22610bd34e-da95%22	https://easetemplate.com/borrow/pages/index-3.html	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/pages/index-3.html	(from https://easetemplate.com/borrow/index.html)
17:06:13	56718/56718	---MCZ	200	added ('OK')	text/html	etag:W/%22610bd34e-dd8e%22	https://easetemplate.com/borrow/pages/index-4-students-loan.html	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/pages/index-4-students-loan.html	(from https://easetemplate.com/borrow/index.html)
17:06:14	48497/48497	---MCZ	200	added ('OK')	text/html	etag:W/%22610bd34e-bd71%22	https://easetemplate.com/borrow/pages/index-5-business-loan.html	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/pages/index-5-business-loan.html	(from https://easetemplate.com/borrow/index.html)
17:06:14	46744/46744	---MCZ	200	added ('OK')	text/html	etag:W/%22610bd34e-b698%22	https://easetemplate.com/borrow/pages/index-6.html	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/pages/index-6.html	(from https://easetemplate.com/borrow/index.html)
17:06:14	49799/49799	---MCZ	200	added ('OK')	text/html	etag:W/%22610bd34e-c287%22	https://easetemplate.com/borrow/pages/index-7-borrow-bank.html	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/pages/index-7-borrow-bank.html	(from https://easetemplate.com/borrow/index.html)
17:06:14	43939/43939	---MCZ	200	added ('OK')	text/html	etag:W/%22610bd34e-aba3%22	https://easetemplate.com/borrow/pages/index-8-compare-shop.html	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/pages/index-8-compare-shop.html	(from https://easetemplate.com/borrow/index.html)
17:06:15	51310/51310	---MCZ	200	added ('OK')	text/html	etag:W/%22610bd34e-c86e%22	https://easetemplate.com/borrow/pages/index-forex.html	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/pages/index-forex.html	(from https://easetemplate.com/borrow/index.html)
17:06:15	66116/66116	---MCZ	200	added ('OK')	text/html	etag:W/%22610bd34e-10244%22	https://easetemplate.com/borrow/pages/index-creditcards.html	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/pages/index-creditcards.html	(from https://easetemplate.com/borrow/index.html)
17:06:15	43186/43186	---MCZ	200	added ('OK')	text/html	etag:W/%22610bd34e-a8b2%22	https://easetemplate.com/borrow/pages/index-creditscore.html	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/pages/index-creditscore.html	(from https://easetemplate.com/borrow/index.html)
17:06:16	35140/35140	---MCZ	200	added ('OK')	text/html	etag:W/%22610bd34e-8944%22	https://easetemplate.com/borrow/pages/landing-page-car-loan.html	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/pages/landing-page-car-loan.html	(from https://easetemplate.com/borrow/index.html)
17:06:16	363229/363229	---MCZ	200	added ('OK')	text/css	etag:W/%22610bd34d-58add%22	https://easetemplate.com/borrow/assets/css/theme.min.css	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/assets/css/theme.min.css	(from https://easetemplate.com/borrow/index.html)
17:06:16	38660/38660	---MCZ	200	added ('OK')	text/html	etag:W/%22610bd34e-9704%22	https://easetemplate.com/borrow/pages/landing-page-home-loan.html	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/pages/landing-page-home-loan.html	(from https://easetemplate.com/borrow/index.html)
17:06:16	34753/34753	---MCZ	200	added ('OK')	text/html	etag:W/%22610bd34e-87c1%22	https://easetemplate.com/borrow/pages/landing-page-refinancing.html	C:/Users/Lenovo/Downloads/new-website-2/easetemplate.com/borrow/pages/landing-page-refinancing.html	(from https://easetemplate.com/borrow/index.html)
